user,mac,staylength
8362,63268,259
14819,23170,259
16598,40702,259
26281,25068,259
27440,35178,259
37198,13556,259
7265,9135,258
8069,62243,258
10285,15234,258
30469,27693,258
36934,10881,258
1100,51143,257
7566,6534,257
12003,34378,257
12731,15086,257
14648,14114,257
16485,53900,257
17806,49928,257
20296,6745,257
20730,24953,257
21699,13910,257
22253,45591,257
26268,24690,257
26980,3928,257
34959,58464,257
5330,53106,256
13759,26496,256
15674,34754,256
18836,50448,256
24185,41577,256
988,63325,255
5993,43748,255
6732,37317,255
18793,43432,255
21475,49226,255
13325,52554,254
13962,25687,254
16061,9199,254
21105,33122,254
21339,6604,254
29444,39109,254
33792,29469,254
2909,7959,253
6062,45484,253
7470,53562,253
13712,25239,253
15683,41774,253
19836,28835,253
20864,15771,253
22057,26883,253
24892,19260,253
26551,46031,253
35533,61407,253
729,20851,252
4193,58441,252
8409,15961,252
9743,11292,252
26156,59254,252
29938,61095,252
32250,51784,252
35494,46416,252
13325,15423,251
20698,22860,251
25956,5073,251
26859,10794,251
586,28550,250
1490,7718,250
6761,19098,250
7625,11719,250
18476,53111,250
31291,26216,250
271,54233,249
4576,18122,249
14242,35852,249
18625,12017,249
19144,25323,249
23718,32196,249
28210,20209,249
28539,12382,249
30349,48739,249
34476,1208,249
35585,35161,249
4586,60239,248
5450,33290,248
8953,56719,248
12881,6186,248
13445,40228,248
13516,21613,248
33619,12465,248
33764,32523,248
34658,14543,248
1348,810,247
6189,42459,247
11838,22004,247
12866,59614,247
17793,22496,247
20970,39067,247
26618,24030,247
29766,4959,247
32867,52313,247
22728,21787,246
23829,40017,246
27992,551,246
29968,46139,246
32369,23694,246
33505,28190,246
8452,15273,245
13017,10286,245
14223,42903,245
16441,48235,245
18911,17305,245
19209,23258,245
20491,38896,245
4727,13504,244
6189,40440,244
7291,60784,244
8137,57108,244
11967,20613,244
15498,25394,244
21142,3500,244
22804,30631,244
23654,55879,244
5105,16394,243
8170,42934,243
9916,54999,243
13803,52928,243
17009,9720,243
21912,43346,243
30148,59165,243
10321,62926,242
10406,12244,242
18078,29921,242
22247,40586,242
23447,5396,242
24632,3257,242
27033,53234,242
30469,63279,242
32697,52188,242
33836,305,242
5068,42001,241
8034,17647,241
16544,47518,241
19004,59112,241
25532,35807,241
30242,61112,241
30921,60579,241
31092,57966,241
31379,15060,241
31897,33211,241
33362,55463,241
7299,50157,240
8503,41239,240
11358,24983,240
17626,22359,240
20758,21415,240
21434,7338,240
28664,25930,240
30777,44753,240
32593,47980,240
1859,43563,239
5186,6112,239
5545,41951,239
8711,52751,239
9522,30965,239
9637,21918,239
15740,6975,239
19303,31051,239
20279,53224,239
27720,41477,239
31991,26699,239
33963,39928,239
34658,46140,239
34674,62460,239
35861,8031,239
975,3271,238
3489,18805,238
4241,37928,238
8910,29500,238
9656,18275,238
9958,59134,238
10859,4248,238
21049,27500,238
24039,20423,238
24424,53577,238
25153,57805,238
26442,35774,238
27413,40968,238
34488,44059,238
34664,40470,238
3331,56063,237
6161,55641,237
6195,53116,237
6381,63295,237
15717,1664,237
16534,27685,237
17062,58771,237
25108,49757,237
25438,55770,237
28275,15105,237
28406,12924,237
31052,20790,237
1205,44136,236
1733,55495,236
15936,13988,236
25591,10576,236
26979,9142,236
31224,57825,236
1153,27011,235
2479,62268,235
2575,31623,235
5021,28759,235
6275,41554,235
6683,30113,235
12475,45513,235
21627,54636,235
25207,54918,235
26613,53031,235
29461,21067,235
7121,13407,234
9677,18095,234
15355,27456,234
15802,33373,234
29733,26762,234
32395,56628,234
37322,36124,234
12633,8912,233
15052,51049,233
19064,46175,233
23037,40444,233
29647,61282,233
30238,32522,233
34951,18367,233
989,32650,232
8991,20400,232
11366,12035,232
18364,33789,232
18681,40427,232
26662,46369,232
32356,7616,232
32809,27104,232
33475,47289,232
34925,19928,232
1452,51642,231
2496,29187,231
3886,50466,231
4957,54955,231
7094,33386,231
7265,4263,231
16062,60006,231
16598,12923,231
24785,49923,231
26781,60222,231
28926,61817,231
29008,18100,231
33551,16352,231
1327,11601,230
2217,5684,230
6932,2595,230
7153,3385,230
18429,38309,230
20830,53424,230
24068,55487,230
27675,48828,230
28707,9748,230
30841,44877,230
31052,40339,230
517,50270,229
2853,52059,229
2904,46008,229
3446,50658,229
5186,62314,229
12086,26033,229
12263,46790,229
16616,4133,229
16690,38055,229
24322,40068,229
25834,47471,229
28999,42637,229
32539,44397,229
35533,28606,229
2501,40239,228
3002,31167,228
5908,19456,228
6071,16002,228
8160,4786,228
14133,60654,228
19705,13627,228
24185,12130,228
27738,42249,228
31550,16671,228
31865,4065,228
32899,42506,228
33485,33478,228
840,13030,227
1684,56462,227
1872,59924,227
13692,13382,227
21867,39646,227
26127,50517,227
29594,28609,227
3366,59399,226
3914,3343,226
4032,20356,226
11754,35962,226
21548,49387,226
21983,20805,226
1733,27999,225
3891,11864,225
8973,54741,225
14124,45018,225
16819,44189,225
28007,5400,225
30233,62269,225
37363,57704,225
3181,45611,224
3638,41101,224
4952,12461,224
8219,40420,224
10597,26484,224
13791,62152,224
16607,37057,224
21898,29845,224
21971,26290,224
687,5888,223
13038,6701,223
22300,26110,223
22570,33382,223
23635,39640,223
25552,22349,223
28655,24629,223
31820,31625,223
33562,22613,223
34753,50835,223
35481,34253,223
35505,49918,223
34023,13588,222
35461,39227,222
36448,24208,222
7374,10063,221
14985,19287,221
19796,7199,221
20615,27971,221
26830,22391,221
32477,47230,221
669,57890,220
8495,20347,220
10392,14677,220
18710,16796,220
19017,21291,220
26594,3218,220
29314,35893,220
31879,33824,220
32191,13581,220
2436,46015,219
6181,36211,219
8648,47044,219
10670,27704,219
11661,59919,219
12094,5932,219
12567,50529,219
14172,24494,219
16485,59579,219
18770,12347,219
19612,54268,219
20960,25759,219
23806,49216,219
25400,48011,219
25710,45287,219
26868,26875,219
29368,55291,219
35755,3992,219
37432,13050,219
583,28380,218
697,14538,218
1744,5845,218
3017,15278,218
7646,42519,218
10145,56299,218
16140,8679,218
19357,30792,218
24549,25645,218
2234,47733,217
4629,1556,217
12731,48174,217
14223,51474,217
15489,12901,217
16607,51276,217
26384,36082,217
26800,50354,217
28146,52816,217
30754,21045,217
32867,38630,217
32899,34649,217
34599,30103,217
35357,50694,217
35374,16908,217
37065,24563,217
37433,34590,217
10228,10483,216
15489,57034,216
19061,21985,216
19701,24272,216
20238,47544,216
21691,25724,216
23654,26203,216
26551,17139,216
27967,50761,216
28007,19656,216
28853,48702,216
31820,4355,216
36183,25898,216
36500,39069,216
36704,10804,216
505,55381,215
2489,12724,215
5313,35975,215
5662,61539,215
7410,954,215
7464,17771,215
9214,53055,215
9753,19229,215
11202,31368,215
14371,59360,215
15643,16437,215
16159,56156,215
17610,40007,215
25454,52101,215
27570,33158,215
29970,17384,215
37107,56602,215
1872,61436,214
2399,29572,214
3765,49930,214
9293,62924,214
9949,63144,214
10412,2345,214
11437,60818,214
13017,23681,214
21954,28202,214
29416,8240,214
31194,38324,214
31236,27492,214
33551,46999,214
34026,14297,214
4603,3067,213
8255,54619,213
10321,11165,213
11978,58840,213
12504,14640,213
15340,54653,213
22445,53703,213
22494,53546,213
23080,37541,213
25192,18748,213
26405,20322,213
26689,60546,213
26803,12915,213
27441,22425,213
29752,20574,213
35523,777,213
4441,49586,212
6161,4900,212
11560,52204,212
12504,37871,212
14395,33162,212
15033,38512,212
16534,59644,212
19087,56494,212
20038,9938,212
30684,59769,212
33505,39269,212
1246,14529,211
1859,48807,211
5886,30932,211
11978,2569,211
12093,47438,211
15388,10040,211
15949,62716,211
18664,24344,211
19062,37613,211
19196,45043,211
21323,57102,211
25192,2887,211
11044,29120,210
11253,5504,210
17551,60164,210
26725,48359,210
27952,53833,210
28731,9495,210
29798,15908,210
31671,32345,210
34990,60626,210
5109,36760,209
10433,19406,209
11828,15761,209
20659,62045,209
