user,mac,staylength
31940,62991,6
31950,38786,6
32102,54855,6
32346,32308,6
32631,26266,6
33093,57660,6
33392,47483,6
33792,27429,6
33952,15339,6
34140,19109,6
34252,55695,6
34683,14554,6
34919,17365,6
35049,52011,6
35127,3811,6
35227,6477,6
35451,1650,6
35742,10463,6
35846,37040,6
35990,26461,6
36012,27049,6
36123,23965,6
36143,56656,6
36175,31635,6
36448,24208,6
36724,4455,6
36880,62963,6
36950,52075,6
37057,60690,6
37185,19110,6
11,18558,5
43,18089,5
59,28578,5
132,17911,5
139,23388,5
158,31406,5
347,19975,5
386,54865,5
609,18301,5
687,60945,5
944,13244,5
1171,62519,5
1205,44136,5
1311,50787,5
1399,41324,5
1605,41973,5
1744,5845,5
2257,53809,5
2338,32526,5
2353,51871,5
2774,23529,5
2846,5166,5
3002,42137,5
3054,4810,5
3075,33210,5
3173,56923,5
3327,29643,5
3409,48800,5
3489,18805,5
3656,34863,5
4103,53761,5
4138,43001,5
4151,12212,5
4292,24887,5
4336,30947,5
4469,13230,5
4605,6427,5
4607,51858,5
4627,20093,5
4703,58444,5
4706,33488,5
4723,62739,5
4994,29651,5
5027,32618,5
5154,24750,5
5244,2408,5
5351,23265,5
5389,50750,5
5662,61539,5
5733,12992,5
5802,57915,5
6062,45484,5
6176,19249,5
6179,62369,5
6366,46767,5
6582,32840,5
6696,13106,5
6721,11187,5
6746,45301,5
6932,2595,5
7087,21690,5
7092,16018,5
7093,11239,5
7093,30815,5
7137,7912,5
7215,16580,5
7265,4263,5
7348,39262,5
7447,33205,5
7528,7630,5
7598,61370,5
7616,61743,5
7696,17006,5
7868,35592,5
7967,19995,5
8059,48894,5
8196,7148,5
8204,39062,5
8271,2853,5
8415,23657,5
8503,41239,5
8503,43494,5
8612,28748,5
8711,52751,5
8755,44537,5
8860,17580,5
8868,15941,5
8951,58141,5
8989,34245,5
9231,15497,5
9311,27278,5
9313,62769,5
9315,14229,5
9330,50000,5
9430,12628,5
9500,47062,5
9544,58107,5
9550,13878,5
9555,37013,5
9672,16331,5
9695,33138,5
9743,12509,5
9751,10791,5
9870,22658,5
9925,10880,5
9953,55343,5
10014,60134,5
10020,59402,5
10036,32070,5
10068,49106,5
10071,23607,5
10406,12244,5
10629,39880,5
10685,58147,5
11083,30306,5
11092,32197,5
11316,10000,5
11557,30929,5
11668,44515,5
11986,16222,5
11996,55437,5
12246,52093,5
12271,12171,5
12312,58616,5
12380,25237,5
12382,46528,5
12426,7115,5
12432,39321,5
12623,14560,5
12680,32143,5
12836,52074,5
12971,20251,5
13628,31280,5
13673,15258,5
13712,18335,5
13744,9207,5
13747,46776,5
13802,50541,5
13906,26472,5
14090,33757,5
14124,45018,5
14230,28191,5
14250,56054,5
14263,26851,5
14371,215,5
14416,22726,5
14422,16270,5
14604,21566,5
14643,39634,5
14731,43364,5
14735,36288,5
14808,15235,5
14851,53487,5
14927,15695,5
15083,968,5
15242,41754,5
15277,8570,5
15394,46824,5
15498,25394,5
15559,27316,5
15654,22227,5
15819,27404,5
15825,45936,5
15927,10822,5
16033,332,5
16063,46624,5
16068,28939,5
16126,8335,5
16370,6360,5
16422,28587,5
16470,14103,5
16554,47128,5
16855,52394,5
16902,59705,5
17076,303,5
17468,26006,5
17610,40007,5
17684,17606,5
17914,57388,5
17961,7330,5
17990,10593,5
18218,46620,5
18341,54087,5
18664,24344,5
18836,50448,5
18874,17564,5
18935,9513,5
19087,56494,5
19187,734,5
19245,24251,5
19366,66,5
19403,30921,5
19421,9791,5
19526,39702,5
19609,36488,5
19693,63055,5
19836,28835,5
20050,44535,5
20158,36237,5
20209,35290,5
20229,24294,5
20263,10421,5
20475,57612,5
20586,49578,5
20593,47799,5
20757,60047,5
20759,14005,5
20785,57626,5
20893,3174,5
20959,38864,5
21035,10328,5
21105,33122,5
21266,27534,5
21361,54555,5
21476,6078,5
21750,36999,5
21750,57909,5
21815,30989,5
21867,21497,5
21897,584,5
22153,33245,5
22211,3604,5
22244,24365,5
22247,40586,5
22286,48692,5
22342,28348,5
22544,24277,5
22623,42732,5
22845,38987,5
22875,42853,5
22998,45675,5
23563,54091,5
23787,2719,5
23829,40017,5
23863,13752,5
23964,19335,5
23982,7887,5
24170,44425,5
24343,43684,5
24490,14697,5
24541,40278,5
24679,59237,5
24785,6843,5
24790,17521,5
24998,30641,5
25064,4561,5
25169,4461,5
25518,63274,5
25853,52029,5
26244,50406,5
26265,56670,5
26402,14310,5
26662,59553,5
26687,37706,5
26708,15495,5
26748,23573,5
26934,31925,5
