user,mac,staylength
18681,40427,4
18770,12347,4
18773,7468,4
18949,25753,4
19085,26040,4
19223,6183,4
19278,18820,4
19516,13975,4
19526,36118,4
19602,25243,4
19685,23383,4
19685,48300,4
19758,6738,4
19832,58109,4
19838,17044,4
20002,12859,4
20013,54190,4
20079,14469,4
20097,41664,4
20130,29481,4
20130,58823,4
20255,40988,4
20255,41215,4
20313,55797,4
20401,52572,4
20432,28743,4
20464,1764,4
20493,2081,4
20647,4706,4
20647,37563,4
20787,4207,4
20857,43466,4
20964,47991,4
20999,1247,4
21287,50086,4
21391,61209,4
21434,7338,4
21443,61784,4
21483,141,4
21495,17849,4
21756,6532,4
21756,56847,4
21765,31766,4
21873,33979,4
21998,18918,4
22033,42563,4
22128,38007,4
22249,34855,4
22257,1870,4
22270,49438,4
22288,48895,4
22336,22156,4
22394,27103,4
22575,48172,4
22626,54769,4
22691,62434,4
22721,9759,4
22875,42853,4
23106,9312,4
23636,16489,4
23730,16186,4
23739,50953,4
23760,16929,4
23813,46199,4
24207,43464,4
24248,59067,4
24281,8896,4
24338,26233,4
24488,53182,4
24550,59218,4
24609,44991,4
24776,35476,4
24799,7008,4
24931,27039,4
25020,51746,4
25028,19310,4
25155,34718,4
25155,46828,4
25477,58063,4
25518,63274,4
25553,38194,4
25574,14465,4
25795,35429,4
26050,4376,4
26056,36046,4
26107,19242,4
26206,60025,4
26220,24559,4
26291,20933,4
26340,61290,4
26384,36082,4
26622,20857,4
26667,13329,4
26686,51146,4
26725,48359,4
26729,11478,4
26859,10794,4
26871,20249,4
26871,27544,4
26932,26708,4
26980,3928,4
27300,28111,4
27334,17090,4
27334,23460,4
27385,13062,4
27403,13709,4
27464,15269,4
27464,47774,4
27508,16838,4
27558,53208,4
27685,51702,4
27722,35452,4
27731,34219,4
27740,11472,4
27808,19346,4
27893,54592,4
27903,27449,4
27950,49217,4
27950,62699,4
27981,4779,4
27990,15910,4
28328,17455,4
28328,53300,4
28524,11922,4
28758,51037,4
28792,21742,4
28819,60952,4
28853,48702,4
29038,49086,4
29158,36890,4
29212,21765,4
29215,18590,4
29230,55251,4
29306,493,4
29334,2597,4
29334,32409,4
29368,55291,4
29411,24498,4
29682,7993,4
29752,20574,4
29933,21549,4
29962,55014,4
29968,28306,4
30021,31663,4
30035,1171,4
30126,12971,4
30284,8118,4
30301,50778,4
30309,39459,4
30496,34820,4
30507,57538,4
30602,8962,4
30684,59769,4
30754,21045,4
30853,40510,4
30924,7790,4
31040,5660,4
31679,13031,4
31704,54044,4
31816,40738,4
31826,56822,4
31964,50285,4
32021,2112,4
32051,42181,4
32111,50036,4
32184,33341,4
32279,22765,4
32279,23937,4
32524,36463,4
32905,8805,4
32988,34824,4
33104,40871,4
33104,48871,4
33232,29699,4
33232,44131,4
33404,15213,4
33404,46110,4
33481,9474,4
33694,22200,4
33787,12919,4
33996,25663,4
34174,37150,4
34174,50372,4
34175,54878,4
34212,26136,4
34287,36272,4
34292,54566,4
34313,37715,4
34333,21767,4
34489,29638,4
34710,1198,4
34710,23781,4
34770,63109,4
34959,58464,4
34971,21464,4
35357,14576,4
35357,50694,4
35390,12807,4
35471,9778,4
35486,7126,4
35976,18841,4
36175,33170,4
